1, Wilfred, Los Palacios, Marbella F.C., Portero
2, Ximo Navarro, Guadahortuna, 	Deportivo Alavés, Defensa
3, Fabian Ruiz, Los Palacios, Napoli F.C., Medio
4, Sergio Ramos, Camas, Real Madrid, Defensa
5, Joaquin Sánchez, EL Puerto de Santa María, Real Betis, Medio
6, Isco, Benalmádena, Real Madrid, Medio
7, Jesús Navas, Los Palacios, Sevilla F.C., Medio
8, Samuel Castillejo, Malaga, A.C. Milan, Medio
9, Raul Navas, Sevilla, C.A. Osasuna, Defensa
10, Brahim Díaz, Malaga, Manchester City F. C., Delantero
11, David Barral, San Fernando, R. Racing de Santander, Delantero
